year,age,f
2005,8,0.0586287509939982
2006,8,0.0738454398143484
2007,8,0.0792947222931402
2008,8,0.0626283125697772
2009,8,0.0501510182325483
2010,8,0.0438637900665986
2011,8,0.0530831525238378
2012,8,0.056448896021965
2013,8,0.0554227209918741
2014,8,0.0600208582598764
2015,8,0.0658427046798704
2016,8,0.0574850089784904
2017,8,0.0585035589833967
2018,8,0.0693000090688037
2019,8,0.0609452623704112
2020,8,0.0511334116246827
2021,8,0.049005883464574
2022,8,0.049273902291472
2023,8,0.0602114700952047
1952,9,9.97011499865174e-05
1953,9,0.000285421899341379
1954,9,0.00194491209662917
1955,9,0.00275998722544219
1956,9,0.00224340312544808
1957,9,0.00146695344457641
1958,9,0.00304614188606791
1959,9,0.00344016755319149
1960,9,0.00249898088613
1961,9,0.00405223929508324
1962,9,0.00422755965322531
1963,9,0.00555280295158006
1964,9,0.00303419015589004
1965,9,0.00739971344060738
1966,9,0.00857236797437546
1967,9,0.00723031984046938
1968,9,0.0108974604124788
1969,9,0.00973920173880633
1970,9,0.00835110332892776
1971,9,0.0166586404578447
1972,9,0.0165077187869999
1973,9,0.011201332490948
1974,9,0.0144103299493783
1975,9,0.00882285278340153
1976,9,0.0148738597581034
1977,9,0.00503455361670808
1978,9,0.00592390320224801
1979,9,0.0117511600228174
1980,9,0.0136027604358169
1981,9,0.018319107205221
1982,9,0.0174405097926933
1983,9,0.011161826248889
1984,9,0.0126804107977289
1985,9,0.0145717054774163
1986,9,0.0155695874416668
1987,9,0.0154304479865962
1988,9,0.0215636055551989
1989,9,0.0170111911630988
1990,9,0.0147417989099475
1991,9,0.0129467854501595
1992,9,0.0165823457935132
1993,9,0.0117602272828458
1994,9,0.0160384379553817
1995,9,0.0113035422602261
1996,9,0.0176186535481249
1997,9,0.0273919645100947
1998,9,0.034414903764721
1999,9,0.0381347080790168
2000,9,0.0423399695817957
2001,9,0.0508542836200398
2002,9,0.0559574894418382
2003,9,0.0596399252541134
2004,9,0.065258298027427
2005,9,0.0553383261779065
2006,9,0.0697396612698317
2007,9,0.0751950573109223
2008,9,0.0585865585095621
2009,9,0.0466000942741079
2010,9,0.040849612875086
2011,9,0.0491550766762934
2012,9,0.0522915519753309
2013,9,0.0513447195515501
2014,9,0.0551944889558938
2015,9,0.0609429403870521
2016,9,0.0533408211909547
2017,9,0.0539666342548637
2018,9,0.0638697376192357
2019,9,0.0565816172329852
2020,9,0.0475936097311237
2021,9,0.0456350103328282
2022,9,0.0456838094567998
2023,9,0.056324211054321
1952,10,9.45786671017703e-05
1953,10,0.000271841594464469
1954,10,0.00186032190956643
1955,10,0.00261431279429059
1956,10,0.0021298524594416
1957,10,0.00138442167046015
1958,10,0.0028946978324705
1959,10,0.00325018841459099
1960,10,0.00237663030098982
1961,10,0.00384162206842272
1962,10,0.00408638441216609
1963,10,0.00528146747703113
1964,10,0.0029048944592621
1965,10,0.00709266994460051
1966,10,0.00820052580065695
1967,10,0.00694095008520352
