sex,year,age,f
1,2021,14,0.160787
2,2021,14,0.160144
1,2022,14,0.150275
2,2022,14,0.149738
1,2023,14,0.098485
2,2023,14,0.098064
1,1995,15,0.207294
2,1995,15,0.205792
1,1996,15,0.128245
2,1996,15,0.127391
1,1997,15,0.160915
2,1997,15,0.159859
1,1998,15,0.20275
2,1998,15,0.201398
1,1999,15,0.300528
2,1999,15,0.29849
1,2000,15,0.216878
2,2000,15,0.215369
1,2001,15,0.228499
2,2001,15,0.226935
1,2002,15,0.273672
2,2002,15,0.271742
1,2003,15,0.263947
2,2003,15,0.262088
1,2004,15,0.389787
2,2004,15,0.387038
1,2005,15,0.267601
2,2005,15,0.265741
1,2006,15,0.272545
2,2006,15,0.270608
1,2007,15,0.210819
2,2007,15,0.209336
1,2008,15,0.286481
2,2008,15,0.284455
1,2009,15,0.270979
2,2009,15,0.269033
1,2010,15,0.298146
2,2010,15,0.296034
1,2011,15,0.211108
2,2011,15,0.209687
1,2012,15,0.299466
2,2012,15,0.29737
1,2013,15,0.247758
2,2013,15,0.246064
1,2014,15,0.267392
2,2014,15,0.265561
1,2015,15,0.222334
2,2015,15,0.220836
1,2016,15,0.202101
2,2016,15,0.200756
1,2017,15,0.130377
2,2017,15,0.129609
1,2018,15,0.131392
2,2018,15,0.130598
1,2019,15,0.169221
2,2019,15,0.168177
1,2020,15,0.132616
2,2020,15,0.131799
1,2021,15,0.154062
2,2021,15,0.15304
1,2022,15,0.144909
2,2022,15,0.144055
1,2023,15,0.093944
2,2023,15,0.093277
1,1995,16,0.199059
2,1995,16,0.197188
1,1996,16,0.123693
2,1996,16,0.122629
1,1997,16,0.155405
2,1997,16,0.154088
1,1998,16,0.195468
2,1998,16,0.193784
1,1999,16,0.289373
2,1999,16,0.286833
1,2000,16,0.208643
2,2000,16,0.206762
1,2001,16,0.219933
2,2001,16,0.217983
1,2002,16,0.263138
2,2002,16,0.260734
1,2003,16,0.253773
2,2003,16,0.251456
1,2004,16,0.374738
2,2004,16,0.371313
1,2005,16,0.257516
2,2005,16,0.255199
1,2006,16,0.261981
2,2006,16,0.259567
1,2007,16,0.202759
2,2007,16,0.200912
1,2008,16,0.275417
2,2008,16,0.272893
1,2009,16,0.260348
2,2009,16,0.257923
1,2010,16,0.286683
2,2010,16,0.284051
1,2011,16,0.203582
2,2011,16,0.201812
1,2012,16,0.288169
2,2012,16,0.285558
1,2013,16,0.238752
2,2013,16,0.236642
1,2014,16,0.257628
2,2014,16,0.255346
1,2015,16,0.214454
2,2015,16,0.212588
1,2016,16,0.195047
2,2016,16,0.193373
1,2017,16,0.126658
2,2017,16,0.125701
1,2018,16,0.127397
2,2018,16,0.126408
1,2019,16,0.163948
2,2019,16,0.162648
1,2020,16,0.128462
2,2020,16,0.127445
1,2021,16,0.148679
2,2021,16,0.147406
1,2022,16,0.140644
2,2022,16,0.13958
1,2023,16,0.090293
2,2023,16,0.089461
1,1995,17,0.192506
2,1995,17,0.190416
1,1996,17,0.120086
2,1996,17,0.118898
1,1997,17,0.151054
2,1997,17,0.149584
1,1998,17,0.189689
2,1998,17,0.187808
1,1999,17,0.280499
2,1999,17,0.277661
1,2000,17,0.202095
2,2000,17,0.199993
1,2001,17,0.213118
2,2001,17,0.21094
1,2002,17,0.254763
2,2002,17,0.252076
1,2003,17,0.24568
2,2003,17,0.243091
1,2004,17,0.362766
2,2004,17,0.358939
1,2005,17,0.249505
2,2005,17,0.246917
1,2006,17,0.253581
2,2006,17,0.250885
1,2007,17,0.196354
2,2007,17,0.194291
1,2008,17,0.266619
2,2008,17,0.263798
1,2009,17,0.251893
2,2009,17,0.249184
1,2010,17,0.277576
2,2010,17,0.274636
1,2011,17,0.197626
2,2011,17,0.195649
1,2012,17,0.279203
2,2012,17,0.276287
1,2013,17,0.231619
2,2013,17,0.229263
1,2014,17,0.249891
2,2014,17,0.247344
1,2015,17,0.208223
2,2015,17,0.20614
1,2016,17,0.189472
2,2016,17,0.187603
1,2017,17,0.123756
2,2017,17,0.12269
1,2018,17,0.12426
2,2018,17,0.123158
1,2019,17,0.159805
2,2019,17,0.158355
1,2020,17,0.125196
2,2020,17,0.12406
1,2021,17,0.144422
2,2021,17,0.143001
1,2022,17,0.1373
2,2022,17,0.136114
1,2023,17,0.087389
2,2023,17,0.086459
1,1995,18,0.187313
2,1995,18,0.185115
1,1996,18,0.117242
2,1996,18,0.115994
1,1997,18,0.147636
2,1997,18,0.146093
1,1998,18,0.185123
2,1998,18,0.183146
1,1999,18,0.273468
2,1999,18,0.270484
1,2000,18,0.196909
2,2000,18,0.1947
1,2001,18,0.207718
2,2001,18,0.205428
1,2002,18,0.24813
2,2002,18,0.245305
1,2003,18,0.239268
2,2003,18,0.236546
1,2004,18,0.353282
2,2004,18,0.349257
1,2005,18,0.243169
2,2005,18,0.240448
1,2006,18,0.246931
2,2006,18,0.244096
1,2007,18,0.191286
2,2007,18,0.189116
1,2008,18,0.259651
2,2008,18,0.256686
1,2009,18,0.245197
2,2009,18,0.242348
1,2010,18,0.27037
2,2010,18,0.26728
1,2011,18,0.192934
2,2011,18,0.190858
1,2012,18,0.272119
2,2012,18,0.269054
1,2013,18,0.225996
2,2013,18,0.223521
1,2014,18,0.24379
2,2014,18,0.241113
1,2015,18,0.20332
2,2015,18,0.201133
1,2016,18,0.185088
2,2016,18,0.183125
1,2017,18,0.12151
2,2017,18,0.120393
1,2018,18,0.121813
2,2018,18,0.120656
1,2019,18,0.156571
2,2019,18,0.15505
1,2020,18,0.122642
2,2020,18,0.121451
1,2021,18,0.141072
2,2021,18,0.13958
1,2022,18,0.134695
2,2022,18,0.133451
1,2023,18,0.085088
2,2023,18,0.084111
1,1995,19,0.183195
2,1995,19,0.180968
1,1996,19,0.115
2,1996,19,0.113736
1,1997,19,0.144953
2,1997,19,0.143392
1,1998,19,0.181515
2,1998,19,0.179513
1,1999,19,0.267897
2,1999,19,0.264873
1,2000,19,0.192803
2,2000,19,0.190564
1,2001,19,0.203439
2,2001,19,0.201118
1,2002,19,0.242876
2,2002,19,0.240014
1,2003,19,0.234186
2,2003,19,0.231428
1,2004,19,0.345764
2,2004,19,0.341686
1,2005,19,0.238156
2,2005,19,0.235399
1,2006,19,0.241664
2,2006,19,0.238791
1,2007,19,0.187275
2,2007,19,0.185076
1,2008,19,0.254131
2,2008,19,0.251126
1,2009,19,0.239891
2,2009,19,0.237005
1,2010,19,0.264669
2,2010,19,0.261538
1,2011,19,0.189239
2,2011,19,0.187138
1,2012,19,0.266521
2,2012,19,0.263416
1,2013,19,0.221565
2,2013,19,0.219059
1,2014,19,0.238978
2,2014,19,0.236269
1,2015,19,0.199464
2,2015,19,0.197251
1,2016,19,0.181643
2,2016,19,0.179656
1,2017,19,0.119776
2,2017,19,0.118649
1,2018,19,0.119906
2,2018,19,0.118738
1,2019,19,0.154049
2,2019,19,0.152512
1,2020,19,0.120649
2,2020,19,0.119445
1,2021,19,0.138437
2,2021,19,0.136927
1,2022,19,0.132669
2,2022,19,0.131413
1,2023,19,0.083265
2,2023,19,0.082274
