area,sex,year,age,n
1,1,1989,12,8.49029
1,1,1990,12,8.3444
1,1,1991,12,8.27462
1,1,1992,12,8.23653
1,1,1993,12,8.20407
1,1,1994,12,8.21573
1,1,1995,12,8.08545
1,1,1996,12,8.86063
1,1,1997,12,8.0104
1,1,1998,12,7.44554
1,1,1999,12,7.96715
1,1,2000,12,8.44161
1,1,2001,12,8.8299
1,1,2002,12,12.7606
1,1,2003,12,6.99084
1,1,2004,12,8.63525
1,1,2005,12,7.52217
1,1,2006,12,7.89768
1,1,2007,12,4.92844
1,1,2008,12,3.52189
1,1,2009,12,5.91023
1,1,2010,12,6.96751
1,1,2011,12,2.80113
1,1,2012,12,4.14965
1,1,2013,12,7.4812
1,1,2014,12,4.23851
1,1,2015,12,5.59363
1,1,2016,12,6.58431
1,1,2017,12,7.41015
1,1,2018,12,9.67221
1,1,2019,12,4.4206
1,1,2020,12,9.3857
1,1,2021,12,8.81002
1,1,2022,12,8.16529
1,1,2023,12,5.84367
1,1,1952,13,8.7682
1,1,1953,13,8.76743
1,1,1954,13,8.76499
1,1,1955,13,8.75171
1,1,1956,13,8.74236
1,1,1957,13,8.73392
1,1,1958,13,8.72093
1,1,1959,13,8.69787
1,1,1960,13,8.67583
1,1,1961,13,8.65211
1,1,1962,13,8.62344
1,1,1963,13,8.57357
1,1,1964,13,8.52162
1,1,1965,13,8.48256
1,1,1966,13,8.41782
1,1,1967,13,8.3605
1,1,1968,13,8.30805
1,1,1969,13,8.20887
1,1,1970,13,8.1387
1,1,1971,13,8.06875
1,1,1972,13,7.95945
1,1,1973,13,7.84058
1,1,1974,13,7.7447
1,1,1975,13,7.64087
1,1,1976,13,7.58684
1,1,1977,13,7.51425
1,1,1978,13,7.52937
1,1,1979,13,7.52859
1,1,1980,13,7.52794
1,1,1981,13,7.52967
1,1,1982,13,7.46103
1,1,1983,13,7.43866
1,1,1984,13,7.45065
1,1,1985,13,7.43368
1,1,1986,13,7.38318
1,1,1987,13,7.33173
1,1,1988,13,7.25683
1,1,1989,13,7.1422
1,1,1990,13,6.99516
1,1,1991,13,6.89806
1,1,1992,13,6.84874
1,1,1993,13,6.79839
1,1,1994,13,6.78978
1,1,1995,13,6.7934
1,1,1996,13,6.70532
1,1,1997,13,7.30397
1,1,1998,13,6.52719
1,1,1999,13,6.05518
1,1,2000,13,6.4684
1,1,2001,13,6.85644
1,1,2002,13,7.17577
1,1,2003,13,10.3508
1,1,2004,13,5.69763
1,1,2005,13,7.04479
1,1,2006,13,6.14702
1,1,2007,13,6.49115
1,1,2008,13,4.03872
1,1,2009,13,2.87564
1,1,2010,13,4.82148
1,1,2011,13,5.67216
1,1,2012,13,2.27528
1,1,2013,13,3.36265
1,1,2014,13,6.06099
1,1,2015,13,3.42803
1,1,2016,13,4.52025
1,1,2017,13,5.30867
1,1,2018,13,5.9694
1,1,2019,13,7.796
1,1,2020,13,3.55768
1,1,2021,13,7.61095
1,1,2022,13,7.13917
1,1,2023,13,6.6104
1,1,1952,14,7.3036
1,1,1953,14,7.30303
1,1,1954,14,7.3012
