year,area,age,n
1987,2,12,308924
1988,2,1,14877600
1988,2,2,3783820
1988,2,3,2415500
1988,2,4,904956
1988,2,5,1580480
1988,2,6,966351
1988,2,7,586584
1988,2,8,476593
1988,2,9,413777
1988,2,10,202351
1988,2,11,103365
1988,2,12,265006
1989,2,1,14679100
1989,2,2,6814610
1989,2,3,2101140
1989,2,4,1616200
1989,2,5,665694
1989,2,6,1193100
1989,2,7,674924
1989,2,8,377472
1989,2,9,315556
1989,2,10,281707
1989,2,11,138315
1989,2,12,247642
1990,2,1,6311300
1990,2,2,6791660
1990,2,3,3824380
1990,2,4,1377290
1990,2,5,1170500
1990,2,6,505100
1990,2,7,860523
1990,2,8,421362
1990,2,9,244832
1990,2,10,213435
1990,2,11,192291
1990,2,12,259947
1991,2,1,15764100
1991,2,2,2890810
1991,2,3,3794790
1991,2,4,2526930
1991,2,5,952042
1991,2,6,836743
1991,2,7,357255
1991,2,8,582968
1991,2,9,296166
1991,2,10,175473
1991,2,11,151996
1991,2,12,316095
1992,2,1,9733090
1992,2,2,7341090
1992,2,3,1641520
1992,2,4,2580970
1992,2,5,1854090
1992,2,6,700104
1992,2,7,574108
1992,2,8,228247
1992,2,9,386896
1992,2,10,205909
1992,2,11,123572
1992,2,12,325697
1993,2,1,12228800
1993,2,2,4598540
1993,2,3,4178450
1993,2,4,1121560
1993,2,5,1944720
1993,2,6,1418200
1993,2,7,489572
1993,2,8,349801
1993,2,9,144724
1993,2,10,257264
